id,name,cost mult,build time,income,upkeep,downgrade,upgrade,tags,data,image,plugin,desc,order,disruptDanger
population,Bevölkerung und Infrastruktur,,,10,3,,,"population, unraidable, no_saturation_bombardment",,graphics/icons/industry/population.png,com.fs.starfarer.api.impl.campaign.econ.impl.PopulationAndInfrastructure,"Die grundlegende Infrastruktur, die zur Versorgung einer bestimmten Bevölkerung erforderlich ist, von klapprigen Hab-Modulen im Orbit bis hin zu Megastädten und allem, was dazwischen liegt.",100,
farming,Landwirtschaft,15,60,,1,,,"farming, industry, rural",,graphics/icons/industry/farming.png,com.fs.starfarer.api.impl.campaign.econ.impl.Farming,"Die Landwirtschaft ist ein Gewerbe und eine Technologie, die so alt sind wie die Zivilisation selbst; seit Tausenden von Zyklen macht sich die Menschheit die Kraft natürlicher, veränderter und künstlicher biologischer Maschinen zunutze, um sich zu ernähren. So war es schon immer und so wird es sein, solange es Menschen gibt.",200,LOW
aquaculture,Aquakultur,50,60,,3,,,"farming, industry, rural",,graphics/icons/industry/aquaculture.png,com.fs.starfarer.api.impl.campaign.econ.impl.Farming,"Die Bewirtschaftung einer Wasserwelt erfordert eine beträchtliche Anfangsinvestition in die Entwicklung geeigneter Arten, doch wenn der Prozess erst einmal in Gang gekommen ist, können Algenfarmen und Fischereien von der Bevölkerung betrieben werden, ohne dass eine spezielle Ausbildung oder Ausrüstung erforderlich ist.",210,MEDIUM
mining,Bergbau,20,60,,2,,,"mining, industry, industrial",,graphics/icons/industry/mining.png,com.fs.starfarer.api.impl.campaign.econ.impl.Mining,"Metall- und Metalloiderze, organische Stoffe und flüchtige Verbindungen erfordern allesamt schweres Gerät, eine spezielle Infrastruktur und qualifizierte Arbeitskräfte, um sie abzubauen. Die harte Arbeit zieht einen bestimmten Typus an, und eine Verwaltung, die nicht bereit ist, ab und zu wegzusehen, könnte feststellen, dass es ihr an willigem Personal mangelt.",300,MEDIUM
techmining,Tech-Mining,30,45,,2,,,"techmining, industry, industrial",,graphics/icons/industry/techmining.png,com.fs.starfarer.api.impl.campaign.econ.impl.TechMining,"Techmining ist die bunte Kunst, wertvolle Artefakte aus Domain-Ruinen zu bergen. Man braucht spezielle Werkzeuge, um mit den einzigartigen Gefahren umzugehen, und ein gutes Urteilsvermögen, um zu wissen, wo man nach einer guten Beute suchen muss. Die ältesten Techminer sind ein seltsamer Haufen, der sich an Glücksbringer klammert und sich weigert, ohne ihre Rituale zu arbeiten.",400,MEDIUM
refining,Raffinerie,45,90,,3,,,"refining, industry, industrial",,graphics/icons/industry/refining.png,com.fs.starfarer.api.impl.campaign.econ.impl.Refining,In den Hüttenwerken werden Erze und transplutonische Erze in Metalle bzw. Transplutonika umgewandelt. Für die gefährlichsten Aufgaben werden in der Regel ferngesteuerte Roboter eingesetzt.,500,MEDIUM
spaceport,Raumhafen,10,15,,3,,megaport,"spaceport, important, structure",,graphics/icons/industry/spaceport.png,com.fs.starfarer.api.impl.campaign.econ.impl.Spaceport,Einrichtungen zum Be- und Entladen von Fracht und zur Durchführung grundlegender Raumschiffreparaturen. Eine Kolonie ohne einen Raumhafen ist für den interstellaren Handel praktisch unzugänglich.,150,HIGH
megaport,Megahafen,60,150,,4,spaceport,,"spaceport, structure",,graphics/icons/industry/megaport.png,com.fs.starfarer.api.impl.campaign.econ.impl.Spaceport,"Ein riesiger Sternenhafen, wo die Sterne die Erde berühren können. Reglementierte Landebrücken und gepanzerte Treibstofftanks sind durch Zufahrtsstraßen und Kurzstrecken-Frachtstraßenbahnen miteinander verbunden, die ein Gewirr von Lagerhausbezirken und Logistikterminals versorgen und die Kolonie erheblich besser zugänglich machen.",151,EXTREME
lightindustry,Leichtindustrie,45,90,,8,,,"lightindustry, industry, rural",,graphics/icons/industry/light_industry.png,com.fs.starfarer.api.impl.campaign.econ.impl.LightIndustry,"Produziert Haushalts- und Luxusgüter. Einer der wenigen Industriezweige, der aufgrund seines Low-Tech-Charakters relativ wenig vom Zusammenbruch betroffen ist.",1400,MEDIUM
heavyindustry,Schwerindustrie,100,120,,12,,orbitalworks,"heavyindustry, uses_blueprints, industry, industrial",,graphics/icons/industry/heavy_industry.png,com.fs.starfarer.api.impl.campaign.econ.impl.HeavyIndustry,"Zentralisierte Produktionsinfrastruktur für die Herstellung von schweren Industrieanlagen, Versorgungsgütern und Waffen. Kann auch kaum weltraumtaugliche Raumschiffe herstellen; zur Verbesserung der Produktionsqualität kann eine Nanoschmiede installiert werden.",1600,HIGH
