name,id,tags,planetary,decivRemove,script,desc,icon,order
Urbanisiertes Gemeinwesen,urbanized_polity,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.UrbanizedPolity,"In diesem dichten und kosmopolitischen Bevölkerungszentrum leben, arbeiten und sterben Menschen aus allen Gesellschaftsschichten in den übereinander gestapelten Wohnkomplexen, Geschäftshallen und modularen Werkstätten.",graphics/icons/markets/urbanized_polity.png,130
Industrielles Gemeinwesen,industrial_polity,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.IndustrialPolity,"Ein lebhaftes Industriezentrum. Die Politik der lokalen Regierung fördert eine florierende Industrie, auf Kosten aller anderen Unternehmen.",graphics/icons/markets/urbanized_polity.png,130
Ländliches Gemeinwesen,rural_polity,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.RuralPolity,Ein dünn besiedeltes Gemeinwesen aus Gehöften und Inselgemeinden. In diesen unruhigen Zeiten werden Außenstehende im Allgemeinen mit Misstrauen behandelt.,graphics/icons/markets/rural_polity.png,130
Große Flüchtlingsbevölkerung,large_refugee_population,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.LargeRefugeePopulation,"Verzweifelte Flüchtlinge, die vor einer Katastrophe fliehen, sind hier gelandet. Die Flüchtlinge leben am unteren Rand der Gesellschaft mit wenig Chancen auf Besserung und belasten die heimische Infrastruktur, da sie in einem angespannten halblegalen Status leben. Geringere Gesamtproduktion. Unter denjenigen, die versuchen, den erbärmlichen Lebensbedingungen zu entkommen, sind wahrscheinlich mehr potenzielle Besatzungsmitglieder zu finden.",graphics/icons/markets/refugee_population.png,140
Volturnische Hummergehege,volturnian_lobster_pens,"show_in_codex, codex_unlockable",TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"Eine Mischung aus verschiedenen Spezies der Alten Erde und ein wenig Fantasie brachten diese Kreatur hervor, die in den zermalmenden Tiefen des Meeresbodens von Volturn wild wächst. Der Geschmack soll außergewöhnlich sein.",graphics/icons/markets/lobster_pens.png,137
Stellvertretende Nachfrage,vice_demand,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.ViceDemand,Die Nachfrage nach Lasterwaren ist hier ungewöhnlich hoch.,graphics/icons/markets/vice_demand.png,145
Organisierte Kriminalität,organized_crime,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.OrganizedCrime,Durch kriminelle Aktivitäten werden Drogen und entnommene Organe produziert. Erhöht die Nachfrage nach Handwaffen (sowohl von verschiedenen Verbrecherbossen als auch von den Bürgern) und Marinesoldaten (von den lokalen Behörden).,graphics/icons/markets/organized_crime.png,148
Frontier,frontier,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Frontier,"Weit entfernt von den kosmopolitischen Bevölkerungszentren sind das bloße Überleben, die Selbstversorgung und die Beschränkung auf das Nötigste die Regeln an der Grenze. Die Nachfrage nach Waffen und Vorräten steigt, die Nachfrage nach Luxusgütern sinkt.",graphics/icons/markets/frontier.png,130
Schiffsabwrackzentrum,shipbreaking_center,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.ShipbreakingCenter,Ein wichtiges Zentrum für das Abwracken von Schiffen in dieser Region des Sektors. Die Flotten der großen Fraktionen und viele andere Kunden aus den Kernwelten des Sektors lassen hier ihre Schiffe verschrotten.,graphics/icons/markets/shipbreaking.png,360
Handelszentrum,trade_center,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.TradeCenter,"Als bedeutendes Handelszentrum legen hier Handelsschiffe aus dem ganzen Sektor an, in der Erwartung, einen Käufer für ihre Waren zu finden - und im Gegenzug etwas für einen guten Gewinn zu kaufen.",graphics/icons/markets/trade_center.png,280
