event_type,event_stage,p,target_rel,channels,subject,summary,assessment,image,icon,tags,sound_id,implementation notes
food_shortage,possible,,,player_intel,Mögliche Nahrungsmittelknappheit $onOrAt $market,"Die Analyse der aus abgefangenen Nachrichten und anderen Quellen gewonnenen Informationen deutet darauf hin, dass es innerhalb weniger Wochen zu einer Lebensmittelknappheit kommen wird $onOrAt $market",Erhöhte Lebensmittelpreise und verringerte Stabilität $onOrAt $market wenn die Knappheit eintritt.,,graphics/icons/markets/food_shortage.png,,,
food_shortage,likely,,,player_intel,Wahrscheinliche Nahrungsmittelknappheit $onOrAt $market,"Die Analyse der aus abgefangenen Nachrichten und anderen Quellen gewonnenen Informationen deutet darauf hin, dass innerhalb weniger Wochen mit ziemlicher Sicherheit eine Nahrungsmittelknappheit eintreten wird $onOrAt $market",Erhöhte Lebensmittelpreise und verringerte Stabilität $onOrAt $market wenn der Mangel auftritt.,,graphics/icons/markets/food_shortage.png,,,
food_shortage,likely,0.5,HOSTILE,hegemony_internal,Wahrscheinliche Nahrungsmittelknappheit $onOrAt $market,"In diesem Bericht wird darauf hingewiesen, dass eine Lebensmittelknappheit mit ziemlicher Sicherheit eintreten wird $onOrAt $market, und die Einheiten in dem Gebiet werden beraten, welche Schritte unternommen werden könnten, um die Auswirkungen zu maximieren.","Hilfsflotte, die wahrscheinlich von einem nahegelegenen Sternensystem entsandt wird; wenn sie abgefangen wird, verlängert sich der Engpass und $market. wird weiter destabilisiert

Der Verkauf von Nahrungsmitteln auf dem Schwarzmarkt wird die Unruhen nach der Verknappung verstärken.",,graphics/icons/markets/food_shortage.png,,,
food_shortage,likely,0.5,FRIENDLY,hegemony_internal,Wahrscheinliche Nahrungsmittelknappheit $onOrAt $market,"In diesem Bericht wird darauf hingewiesen, dass eine Nahrungsmittelknappheit so gut wie sicher eintreten wird $onOrAt $market, und den Einheiten wird geraten, sich zur Unterstützung bereitzuhalten.",Die rasche Lieferung einer ausreichenden Menge an Nahrungsmitteln an $market wird die Dauer und die Auswirkungen des Mangels verringern.,,graphics/icons/markets/food_shortage.png,,,
food_shortage,start,,,news,Nahrungsmittelknappheit $onOrAt $market,"Der Bericht befasst sich mit der Nahrungsmittelknappheit $onOrAt $market und bietet eine ausgewogene Perspektive, ohne jedoch eine konkrete Ursache zu nennen. Die wahrscheinlichste Ursache scheint eine Fehlerkaskade in einem sich verschlechternden Logistiksystem zu sein.","Erhöhte Lebensmittelpreise $onOrAt $market.

Stabilität verringert durch $stabilityPenalty.

Ungefähr $neededFood Einheiten an Nahrungsmitteln werden benötigt, um die Knappheit zu beenden.
Hilfsflotte wird wahrscheinlich von einem nahegelegenen Sternensystem entsandt.

Erhöhter Reputationsverlust durch den Verkauf von Nahrungsmitteln. Der Verkauf von Nahrungsmitteln auf dem Schwarzmarkt wird die Unruhen nach der Verknappung verstärken.",,graphics/icons/markets/food_shortage.png,prices,,
food_shortage,start,0.25,HOSTILE,hegemony_public,Kritische Nahrungsmittelknappheit $onOrAt $market,"Der Bericht weist darauf hin, dass die Nahrungsmittelknappheit $onOrAt $market ungewöhnlich groß ist, und beschuldigt die $theMarketFaction-Verwaltung, eine humanitäre Krise ausgelöst zu haben.","Erhöhte Lebensmittelpreise $onOrAt $market.

Stabilität verringert durch $stabilityPenalty.

Ungefähr $neededFood Einheiten an Nahrungsmitteln werden benötigt, um die Knappheit zu beenden.

Hilfsflotte wird wahrscheinlich von einem nahegelegenen Sternensystem entsandt.

Erhöhter Reputationseinfluss durch den Verkauf von Nahrungsmitteln. Der Verkauf von Nahrungsmitteln auf dem Schwarzmarkt wird die Unruhen nach der Verknappung verstärken.",,graphics/icons/markets/food_shortage.png,prices,,
food_shortage,start,0.25,SELF,hegemony_public,Angebliche Nahrungsmittelknappheit $onOrAt $market,"Der Bericht weist alle Gerüchte über eine Lebensmittelknappheit $onOrAt $market entschieden zurück und ermutigt verantwortungsbewusste Bürger, ihren Teil dazu beizutragen, indem sie jeden melden, der im Verdacht steht, bösartige Gerüchte zu verbreiten.","Erhöhte Lebensmittelpreise $onOrAt $market.

Stabilität verringert durch $stabilityPenalty.

Ungefähr $neededFood Einheiten an Nahrungsmitteln werden benötigt, um die Knappheit zu beenden.

Hilfsflotte wird wahrscheinlich von einem nahegelegenen Sternensystem entsandt.

Erhöhter Reputationseinfluss durch den Verkauf von Nahrungsmitteln. Der Verkauf von Nahrungsmitteln auf dem Schwarzmarkt wird die Unruhen nach der Verknappung verstärken.",,graphics/icons/markets/food_shortage.png,prices,,
food_shortage,warning_relief,,,player_intel,Lebensmittelknappheit $onOrAt $market: Hilfsmaßnahmen werden auf $reliefMarket organisiert,"Die Analyse des Kommunikationsverkehrs zeigt, dass eine Hilfsflotte in $reliefMarket in $reliefSystem organisiert wird und in Kürze nach $market geschickt wird.","Die Flotte transportiert genug Lebensmittel, um den Mangel zu beseitigen.

Sollte die Flotte nicht wie erwartet eintreffen, wird sich die Lage in $market weiter destabilisieren.",,graphics/icons/markets/food_shortage.png,,,
food_shortage,warning_relief,0.5,HOSTILE,"hegemony_internal,
tritachyon_internal,
sindrian_diktat_internal",Lebensmittelknappheit $onOrAt $market: Hilfsmaßnahmen werden auf $reliefMarket organisiert,"Aus dem Bericht geht hervor, dass in $reliefMarket in $reliefSystem eine Hilfsflotte organisiert wird, die wahrscheinlich in wenigen Wochen an den Start gehen wird.","Die Flotte transportiert genug Lebensmittel, um den Mangel zu beseitigen.

Sollte die Flotte nicht wie erwartet eintreffen, wird sich die Lage in $market weiter destabilisieren.",,graphics/icons/markets/food_shortage.png,,,
food_shortage,warning_relief,0.5,FRIENDLY,"hegemony_internal,
tritachyon_internal,
sindrian_diktat_internal",Lebensmittelknappheit $onOrAt $market: Hilfsmaßnahmen werden auf $reliefMarket organisiert,"Der Bericht besagt, dass in $reliefMarket in $reliefSystem eine Hilfsflotte organisiert wird, die voraussichtlich in wenigen Tagen aufbrechen wird. Einheiten in der Nähe werden gebeten, dafür zu sorgen, dass die Flotte sicher an ihrem Ziel ankommt.","Die Flotte transportiert genug Lebensmittel, um den Mangel zu beseitigen.

Sollte die Flotte nicht wie erwartet eintreffen, wird sich die Lage in $market weiter destabilisieren.",,graphics/icons/markets/food_shortage.png,,,
food_shortage,relief_sent,,,news,Nahrungsmittelknappheit $onOrAt $market: Hilfe von $reliefMarket geschickt,Eine Hilfsflotte ist von $reliefMarket aus im System $reliefSystem unterwegs und sollte in $marketSystem $eta. eintreffen.,"Die Flotte transportiert genug Lebensmittel, um den Mangel zu beseitigen.

Sollte die Flotte nicht wie erwartet eintreffen, wird sich die Lage in $market weiter destabilisieren.",,graphics/icons/markets/food_shortage.png,,,
food_shortage,relief_unavailable,,,news,Nahrungsmittelknappheit $onOrAt $market: Verschlechterung der Bedingungen,"Während es anfangs Spekulationen gab, dass ein Nachbarland in der Lage sein könnte, Hilfe zu schicken, scheint es, dass diese Hilfe nicht kommt.",Unruhe erhöht durch $stabilityPenaltyRelief.,,graphics/icons/markets/food_shortage.png,prices,,
food_shortage,relief_aborted,,,news,Nahrungsmittelknappheit $onOrAt $market: Hilfsflotte kehrt um,"Die Hilfsflotte von $reliefMarket wurde auf ihrem Weg nach $market angegriffen, erlitt große Verluste und musste umkehren. Die Lebensmittelknappheit hält unvermindert an.",Unruhe erhöht durch $stabilityPenaltyRelief.,,graphics/icons/markets/food_shortage.png,prices,,
