name,id,tags,tech/manufacturer,rarity,base price,stack size,cargo space,baseRaidDanger,icon,sound id,sound id drop,plugin,plugin params,desc,order
Basis ModSpec,modspec,modspec,,,1,1000,1,,graphics/icons/cargo/modspec2.png,ui_chip_pickup,ui_modspec_drop,com.fs.starfarer.api.campaign.impl.items.ModSpecItemPlugin,,"Eine Sammlung von Hinweisen, Richtlinien und praktischen Beispielen, die es ermöglichen, diese Modifikation an verschiedene Rümpfe anzupassen und anzuwenden.",50
,,,,,,,,,,,,,,,
# Industrie-geschlitzte Artikel,,,,,,,,,,,,,,,
Korrumpierte Nanoschmiede,corrupted_nanoforge,"nanoforge, pather4, colony_item, codex_unlockable",Domain Restricted,,50000,1000,1,HIGH,graphics/icons/cargo/nanoforge_corrupted.png,ui_cargo_special_industrial_pickup,ui_cargo_special_industrial_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,"heavyindustry, orbitalworks","Eine leistungsfähige und vielseitige ""Black Box"", die sich mit den erforderlichen Rohstoffen und menschlicher Hilfe selbst in industriellem Maßstab weiterentwickeln kann.

Diese Maschine hat schon bessere Tage gesehen und ist nicht in der Lage, zuverlässig fehlerfreie Komponenten herzustellen. Nichtsdestotrotz ist der Zugang zu einer Nanoschmiede ein Fortschritt für den Bau von Raumschiffen.",139
Unverfälschte Nanoschmiede,pristine_nanoforge,"nanoforge, hist3t, pather4, colony_item, codex_unlockable",Domain Restricted,,250000,1000,1,EXTREME,graphics/icons/cargo/nanoforge_pristine.png,ui_cargo_special_industrial_pickup,ui_cargo_special_industrial_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,"heavyindustry, orbitalworks","Eine leistungsfähige und vielseitige ""Black Box"", die sich mit den erforderlichen Rohstoffen und menschlicher Hilfe selbst in industriellem Maßstab weiterentwickeln kann.

Dieses Schiff ist so gut wie neu, zumindest laut seiner On-Board-Diagnose. In der Praxis ist es angesichts des allgemeinen Zustands der Fertigung in diesem Sektor immer noch eine Herausforderung, fehlerfreie Raumschiffkomponenten zu erhalten, aber diese Nanoschmiede ist so gut, wie es nur geht.",139.1
Synchrotron-Kern,synchrotron,"hist3t, pather4, planet_search, colony_item, codex_unlockable",Domain Restricted,,250000,1000,1,EXTREME,graphics/icons/cargo/synchrotron_core.png,ui_cargo_special_ultratech_pickup,ui_cargo_special_ultratech_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,fuelprod,"Eine spezialisierte Nanoschmiede, die mit Firmware und Saatgut-Nanotechnologie ausgestattet ist, um sich selbst zu einem Synchrotron auszubauen, das die Antimaterieproduktion im industriellen Maßstab ermöglicht.",139.2
Orbital Fusion Lampe,orbital_fusion_lamp,"hist3t, pather4, planet_search, colony_item, codex_unlockable",Fabrique Orbitale,,150000,1000,1,EXTREME,graphics/icons/cargo/fusion_lamp.png,ui_cargo_special_ultratech_pickup,ui_cargo_special_ultratech_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,population,"Ein miniaturisierter Fusionsreaktor mit variabler Leistung, der in der Lage ist, einen Planeten mit ausreichend Licht und Wärme zu versorgen.

Für einen sicheren Betrieb sind enorme Mengen an flüchtigen Stoffen erforderlich. Wird der Bedarf nicht gedeckt, leidet der Reaktor unter einer potenziell gefährlichen Instabilität, die zu einem unkontrollierten Anstieg der Leistung führen kann. Zum Zeitpunkt des Zusammenbruchs war vor den Gerichten von Domain ein Rechtsstreit darüber anhängig, ob es sich bei diesem Gerät um eine inhärent unsichere Konstruktion oder lediglich um eine unsichere Verwendung handelt.",135
Hypershunt Wasserhahn,coronal_portal,"hist3t, pather8, planet_search, colony_item, codex_unlockable",Domain Restricted,,300000,1000,1,EXTREME,graphics/icons/cargo/hypershunt_tap.png,ui_cargo_special_ultratech_pickup,ui_cargo_special_ultratech_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,population,"Ein miniaturisiertes Wurmloch-Interface, das aktiviert werden kann, um einen nahe gelegenen koronalen Hypershunt anzuzapfen, der eine Kolonie mit praktisch unbegrenzter Energie versorgt.

Für den Betrieb sind industrielle Mengen an Transplutonika erforderlich, die zunächst zum Öffnen des Wurmlochs verwendet werden und dann - sobald die Energieentnahme selbsttragend wird - in einem komplizierten Ablationsprozess verbraucht werden, der die Stabilität des Wurmlochs aufrechterhält. Jede Unterbrechung der Versorgung erfordert eine vollständige Abschaltung der Zapfstelle.",137
Autonome Mantelbohrung,mantle_bore,"hist3t, pather4, planet_search, colony_item, codex_unlockable",Eridani-Utopia Terraforming,,80000,1000,1,EXTREME,graphics/icons/cargo/terraforming_bore.png,ui_cargo_special_industrial_pickup,ui_cargo_special_industrial_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,mining,"Es wird angenommen, dass es im Sektor keine funktionierenden Übersteuerungseinheiten mehr gibt, aber die Bohrung selbst ist zu einem unabhängigen - wenn auch manchmal unvorhersehbaren - Betrieb in der Lage. Ausfallsicherungen im Automatikmodus schließen seinen Einsatz auf bewohnbaren Welten aus.",140
Katalytischer Kern,catalytic_core,"hist3t, pather4, planet_search, colony_item, codex_unlockable",Ko Combine,,100000,1000,1,EXTREME,graphics/icons/cargo/catalytic_core.png,ui_cargo_special_industrial_pickup,ui_cargo_special_industrial_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,refining,"Verbessert die Effektivität von Raffinationsprozessen durch eine überraschende Eigenart der Osmosephysik erheblich. Für den Betrieb ist ein Vakuum erforderlich, das auf Planeten mit hohem atmosphärischen Druck nur schwer zu erreichen ist.",145
Boden-Naniten,soil_nanites,"hist3t, pather4, planet_search, colony_item, codex_unlockable",Eridani-Utopia Terraforming,,60000,1000,1,EXTREME,graphics/icons/cargo/soil_nanites.png,ui_cargo_special_industrial_pickup,ui_cargo_special_industrial_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,farming,"Ermöglicht die Anreicherung und Rückgewinnung von Böden mit einer Geschwindigkeit, die weit über der von natürlichen Prozessen ohne Hilfe liegt. Domain Nanite Safety Regulation 4324, subsection 81 verbietet die Verwendung auf Welten mit transplutonischen Erz- oder Volatilitätsvorkommen, und leider scheint das eingebaute Failsafe zu funktionieren.",150
Biofabrik-Embryo,biofactory_embryo,"hist3t, pather4, planet_search, colony_item, codex_unlockable",Exodyne Biotech,,120000,1000,1,EXTREME,graphics/icons/cargo/biofactory_embryo.png,ui_cargo_special_biotech_pickup,ui_cargo_special_bio_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,lightindustry,"Eine schwindelerregende Vielfalt von Konsumgütern kann angebaut statt hergestellt werden. Die vollständig extrudierte Biofabrik gedeiht nur unter dem empfindlichen Gleichgewicht von Sonnenlicht, Bodennährstoffen und atmosphärischen Bedingungen, die eine bewohnbare Welt bieten kann. Versuche, diese Bedingungen in künstlichen Umgebungen zu imitieren, scheitern immer und führen dazu, dass die Fabrik krank wird, vermutlich aufgrund einer genetisch kodierten Ausfallsicherung.",155
