id,type,text1,text2,text3,text4,text5,notes
lightmg,WEAPON,"Eine Kategorie alter, kostengünstiger und leicht verfügbarer Schnellfeuerwaffen, die im Laufe der Geschichte der Weltraumkämpfe effektiv gegen Raketen und Kampfflugzeuge auf kurze Distanz eingesetzt wurden. Gegen ordnungsgemäß gepanzerte Ziele nahezu nutzlos.

Aufgrund der einfachen Herstellung und Modifizierbarkeit gibt es Hunderte von Varianten. Alle diese Waffen, die chemisch angetriebene inerte Projektile mit einer bestimmten Kalibergröße abfeuern – die selbst mit einer einfachen automatischen Schmiede leicht hergestellt werden können –, werden als leichte, auf Schiffen montierte Maschinengewehre klassifiziert. Die Mechanismen, die diese Waffen antreiben, variieren erheblich. 

Aufgrund ihrer geringen Kosten sind sie bei kleinen zivilen Flugzeugen beliebt. Der dichte Kern der Projektile ist oft mit härterem Metall ummantelt, um die Zuführung und Durchschlagskraft zu verbessern. Trotz ihres primitiven Designs liefern diese Waffensysteme auf kurze Distanz eine überraschend große kinetische Energie.",,,,,
lightdualmg,WEAPON,"Eine verbesserte Version des bewährten leichten Maschinengewehrs mit zwei Läufen. Nicht besonders wirksam gegen gut gepanzerte Ziele, hat sich jedoch seit Beginn der Weltraumkämpfe der Menschheit als Raketenabwehr- und Kampfflugzeugwaffe bewährt.

Es handelt sich um eine Doppelhalterung derselben Schnellfeuerwaffe mit trägen, kleinkalibrigen chemischen Projektilen, die jedem Piloten und Waffenmeister im Sektor bekannt ist. Eine ausgezeichnete Punktabwehrhalterung, die sich sowohl zur Raketenabwehr als auch zur Bekämpfung von Kampfflugzeugen eignet. Die große Menge an kinetischer Energie, die bei Nahbereichsangriffen auf die Schildsysteme feindlicher Flugzeuge abgegeben wird, führt in der Regel zu einer Überlastung der Emitter, eine taktische Option, die von unerfahrenen Kapitänen oft übersehen wird.",,,,,
lightmortar,WEAPON,"Eine veraltete Waffe, die Panzerabwehrgeschosse mit geringer Feuerrate, Mündungsgeschwindigkeit und Reichweite abfeuert. Der einzige Vorteil ist die geringe Fluxbildung. Die Waffenbaupläne für leichte Mörser waren ursprünglich gar nicht für Raumfahrzeuge gedacht, aber eine geniale Modifikation des Hinterlademechanismus ermöglicht den Einbau und Einsatz außerhalb der Atmosphäre. Im Kampf schneidet der leichte Mörser aufgrund seiner schlechten Drehbarkeit und Feuerrate schlecht gegen sich schnell bewegende oder abgeschirmte Ziele ab. Dennoch wird er häufig verwendet, um unerfahrene Artillerieoffiziere in den Feinheiten der Weltraumballistik und -terminologie zu schulen. Aufgrund seines geringen Gewichts und seiner niedrigen Kosten wird er häufig auf privaten Yachten und interplanetaren Einzelsitzfahrzeugen eingesetzt.",,,,,
heavymortar,WEAPON,"Eine veraltete Waffe, die größere Panzerabwehrgeschosse mit einer etwas höheren Feuerrate als ihr kleineres Pendant abfeuert. Die Geschossgeschwindigkeit ist gering und die effektive Reichweite ist kurz. Der geringe Flussaumfang ist der einzige Vorteil.

Der schwere Mörser wurde ursprünglich für den Einsatz im planetarischen Bodenkampf entwickelt. Obwohl er eigentlich zum Zerstören militärischer Befestigungsanlagen gedacht war, wurde er weitaus häufiger für Bombardierungen in Städten eingesetzt. Dank seiner robusten inneren Mechanik kann er mit nur geringfügigen Anpassungen, insbesondere dem Austausch des automatischen Entfernungsmessers/Zielmoduls, auch außerhalb der Atmosphäre eingesetzt werden. Bei großen, ungeschützten und sich langsam bewegenden Zielen ist der schwere Mörser besonders effektiv.",,,,,
vulcan,WEAPON,"Ein Schnellfeuer-Raketenabwehrsystem, das besonders für Raketen und Kampfflugzeuge aus nächster Nähe verheerend ist. Bei längeren Feuerstößen nimmt die Genauigkeit stark ab. 

Diese Mehrfachwaffenplattform basiert auf einem fortschrittlichen Zeitmechanismus, der in der Regel von Hegemony-zertifizierten Nanoforges hergestellt wird. Die Geschosse sind in der Regel mit abgereichertem Uran beschichtet und nicht explosiv. Die Mehrfachläufe ermöglichen eine extrem hohe Feuerrate, allerdings bei hohen Flusskosten.",,,,,
lightac,WEAPON,"Eine kleinkalibrige Autokanone mit guter Reichweite für ein so leichtes Chassis. Entwickelt, um gegnerische Schilde zu bekämpfen, und besonders wirksam gegen die schwächeren Generatoren, die in kleineren Rümpfen verwendet werden. Verfügt über Hochgeschwindigkeits-Kinetikgeschosse, die eine hervorragende Feuerunterstützungswaffe für kleinere Fahrzeuge darstellen. Aufgrund der komplexen automatischen Ladevorrichtung und der Flüssigkeitskühlung ist die Drehgeschwindigkeit der Lafette gering, was die leichte Autokanone zu einer schlechten Wahl für die Verteidigung gegen Kampfflugzeuge und Raketen macht.",,,,,
lightdualac,WEAPON,"Eine doppelläufige Version der leichten Autokanone. Eine ausgezeichnete Waffe für die Nahunterstützung, die sehr effektiv beim Zerstören von Schilden ist, jedoch aufgrund des starken Rückstoßes eine geringere Reichweite hat.

Ein ausgeklügeltes mechanisches Design verhindert ein Verkleben der Auswurföffnungen, während doppelt so viele verbrauchte Hülsen wie beim Standard-Chassis der leichten Autokanone ausgeworfen werden. Wie die einläufige Version feuert auch dieses Waffensystem Hochgeschwindigkeitsgeschosse ab, die dafür ausgelegt sind, feindliche Schilde zu durchschlagen. Der Autolader und die Flüssigkeitskühlung sind ansonsten identisch mit der einläufigen Version.",,,,,
lightag,WEAPON,"Eine kleinkalibrige Kanone, die für Nahkämpfe entwickelt wurde, sich hervorragend gegen Panzerung eignet und eine hervorragende Feuerrate aufweist. Kleinkalibrige Kanone, die für den Abschuss von hochexplosiven Geschossen entwickelt wurde. Bei der Konstruktion der Kühlsysteme und des Autoloaders wurde besonderer Wert auf Sicherheit und die Vermeidung von Cook-offs gelegt, die durch hohe Flussraten verursacht werden können. Beliebt bei Zerstörer-Kapitänen, die etwas zu beweisen haben.",,,,,
fragbomb,WEAPON,"Gibt eine Gruppe frei schwebender Bomblets frei, die den Impuls des Abschussfahrzeugs beibehalten. Die Bomblets sind mit einem Annäherungszünder ausgestattet. Ein Frag-Bomb-Projektor feuert Mark VI-Splitterbomblets aus drei Rohren ab. Die Bomblets sind ungelenkt und ohne Antriebssystem und verlassen sich auf ein Freund-Feind-Erkennungssystem. Dank ihrer großen Anzahl können sie einen weiten Bereich abdecken und so an diesem Ort eine effektive Punktabwehrbarriere schaffen, wenn auch nur für eine begrenzte Zeit. Wenn der Annäherungszünder durch ein feindliches Flugzeug ausgelöst wird, detoniert die Bomblet und erzielt ähnliche Effekte wie Flak-Waffen.",,,,,
clusterbomb,WEAPON,"Gibt eine Gruppe frei schwebender, hochexplosiver Bomblets frei. Wirksamer gegen ungeschützte und langsam bewegliche Ziele. Ein Clusterbombenwerfer ist mit drei Rohren ausgestattet, die Dutzende von Mark II Explosively Formed Penetrator-Bomblets abfeuern können. Die Bomblets sind ungelenkt und haben kein Antriebssystem, sondern verlassen sich auf den anfänglichen Impuls des Angriffsflugzeugs, um das Ziel zu treffen. Sie sind mit einem Freund-Feind-Erkennungsscanner ausgestattet und detonieren nur, wenn sie auf ein geeignetes Ziel treffen. Der Sprengstoff mit geformter Ladung ist sehr effektiv gegen ungeschützte Ziele. Die schiere Anzahl der Bomblets, die von diesem Waffensystem eingesetzt werden können, ist atemberaubend und macht die Streubombe zu einer nützlichen Waffe zur Flächenabwehr.",,,,,
